City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
203,Nuevo Progreso,MX,82.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
205,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
218,Tecoanapa,MX,80.74,scattered clouds,16.5167,-98.75,Hotel Manglares
226,Sal Rei,CV,75.11,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
228,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
233,Mangan,IN,78.1,overcast clouds,27.5167,88.5333,Hotel Mout View
235,Nanning,CN,88.25,scattered clouds,22.8167,108.3167,Nanning Travelling With Hostel
237,Moussoro,TD,83.91,overcast clouds,13.6408,16.4901,Hôtel Salama
238,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
242,Butaritari,KI,81.54,broken clouds,3.0707,172.7902,Isles Sunset Lodge
245,Sur,OM,86.61,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
248,Salalah,OM,75.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
249,Cukai,MY,87.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
254,Cangzhou,CN,88.39,overcast clouds,38.3167,116.8667,Jinji Express Hotel
257,Sheridan,US,77.92,clear sky,44.8333,-106.9173,Comfort Inn & Suites
260,Tahoua,NE,81.79,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
261,Brigantine,US,81.0,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
273,Willmar,US,75.15,clear sky,45.1219,-95.0433,Lakeview Inn
275,Biak,ID,81.18,scattered clouds,-0.9131,122.8766,Penginapan Kim
278,Atasu,KZ,75.06,scattered clouds,48.6814,71.6433,Dostyk
281,Mecca,SA,82.26,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
293,Karaton,ID,85.55,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
295,Coahuayana,MX,79.99,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
299,Kavieng,PG,82.56,light rain,-2.5744,150.7967,Nusa Island Retreat
306,Gizo,SB,84.49,overcast clouds,-8.103,156.8419,Imagination Island
308,Indore,IN,75.38,haze,22.7179,75.8333,Capital O 62303 Hotel Apna Palace
309,Zhangye,CN,75.61,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
317,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
320,San Marcos,US,76.57,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
325,Sabang,ID,83.3,overcast clouds,5.8933,95.3214,Hotel Citra
328,Portland,US,81.01,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
330,Xiaoweizhai,CN,80.06,overcast clouds,26.1903,107.5125,Karst Youth Hostel
331,Hailar,CN,83.57,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
332,Mogadishu,SO,75.27,light rain,2.0371,45.3438,Hotel Juba
333,Zaoyang,CN,89.28,overcast clouds,32.1272,112.7542,Shanghai Hotel
335,Amahai,ID,80.2,broken clouds,-3.3333,128.9167,HOTEL ISABELA
339,Labuhan,ID,83.79,overcast clouds,-6.8844,112.2051,DoubleFAG
348,Cookeville,US,76.64,broken clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
354,Sinnamary,GF,77.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
356,Baoqing,CN,75.0,broken clouds,46.3317,132.2111,Baoqing Hotel
357,Dickinson,US,87.75,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
358,Japura,ID,80.58,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
365,Sooke,CA,75.02,scattered clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
367,Quesnel,CA,75.7,clear sky,52.9999,-122.5029,Ramada by Wyndham Quesnel
369,Sabha,LY,76.39,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
372,Heihe,CN,81.18,few clouds,50.2441,127.4902,Hotel Strannik
374,Puruliya,IN,85.24,overcast clouds,23.3333,86.3667,Dixit Lodge
375,Palmer,US,79.25,few clouds,42.1584,-72.3287,Wedgewood Motel
376,Nam Som,TH,78.1,light rain,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
384,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
389,Sibolga,ID,86.02,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
399,Fukue,JP,82.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
400,Zaragoza,ES,80.02,clear sky,41.6561,-0.8773,Hotel Goya
402,Rome,US,77.04,overcast clouds,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
403,Bud,US,78.67,clear sky,39.447,-86.1758,Ted McQuinn Trust
408,Shache,CN,87.13,clear sky,38.4167,77.2406,Delong Hotel
412,Tarrafal,CV,77.79,overcast clouds,15.2833,-23.7667,Hotel Ixola
415,Bengbu,CN,89.87,broken clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
418,Antibes,FR,78.28,scattered clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
420,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
421,Ciudad Bolivar,VE,76.98,overcast clouds,8.1222,-63.5497,Hotel Edi
428,Baracoa,CU,80.42,broken clouds,20.3467,-74.4958,Hostal Rio Miel
437,Dromolaxia,CY,79.68,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
441,Isangel,VU,80.98,few clouds,-19.55,169.2667,Tanna Lodge
444,Cockburn Town,TC,82.26,clear sky,21.4612,-71.1419,Osprey Beach Hotel
445,Tezu,IN,76.86,light rain,27.9167,96.1667,Circuit House
447,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
453,Gusau,NG,75.61,overcast clouds,12.1628,6.6614,GUEST INN
